
area,num_people,avg_temp,insulation_score,building_age,monthly_energy_consumption
115,3,27,1,34,1095.5
83,3,27,2,4,566.05
60,4,10,3,32,284.33
70,3,39,2,11,999.92
76,7,24,1,10,1077.97
97,3,16,1,37,666.93
280,2,36,4,31,1178.43
250,2,10,9,43,147.9
136,6,33,5,30,1371.63
50,5,35,1,37,1357.28
192,9,17,5,37,1362.96
242,5,10,3,22,718.64
188,8,15,5,0,1010.1
180,3,12,6,38,430.09
233,4,18,9,25,788.64
134,1,20,9,22,-170.74
100,6,39,7,44,1384.35
192,9,28,2,29,1662.23
170,3,10,2,46,585.08
260,5,23,6,53,1185.47
143,1,28,1,46,754.99
222,1,17,9,21,23.33
238,4,16,4,13,581.1
234,5,10,7,57,783.48
216,7,27,4,31,1428.93
94,8,31,2,46,1622.78
55,7,33,2,17,1530.68
210,9,10,1,2,1109.65
60,1,20,5,53,340.28
158,9,18,7,36,1038.45
154,1,15,6,52,174.43
137,6,17,1,34,1062.02
221,3,34,3,31,1191.58
50,1,18,3,13,118.94
136,9,38,9,47,1643.7
223,7,18,7,18,880.75
96,2,14,2,25,219.4
257,6,39,7,39,1491.08
271,1,13,6,22,26.85
136,1,13,1,5,-3.19
65,9,26,8,50,1206.1
181,2,25,6,23,558.6
252,4,10,6,19,315.83
156,8,29,4,30,1245.07
174,6,25,7,52,1162.93
245,2,17,6,4,453.13
224,3,30,7,7,693.63
64,7,19,1,52,1066.3
177,4,34,3,46,1213.6
239,3,29,4,51,1165.77
288,2,31,7,34,954.22
61,9,37,9,2,1266.49
117,7,29,8,0,939.92
259,6,21,3,27,1201.46
217,2,24,3,36,686.13
85,6,27,5,40,930.22
184,2,39,5,31,906.41
274,7,18,4,55,1468.96
85,4,22,8,0,306.88
103,1,37,3,43,680.62
75,6,22,4,43,972.77
73,8,33,9,37,1305.1
170,4,10,3,26,544.37
123,3,32,3,0,803.69
88,5,10,3,4,421.66
293,5,26,7,6,1081.64
196,5,33,4,24,1315.27
95,5,36,5,23,1273.76
250,9,27,6,27,1779.98
68,2,37,6,46,808.63
262,7,36,9,30,1588.53
176,7,34,6,41,1289.96
149,8,33,9,52,1351.32
139,3,15,2,4,393.09
72,5,18,6,25,478.62
48,6,29,6,29,884.91
124,8,25,6,43,1014.18
90,4,27,5,50,968.95
119,8,17,7,3,1010.46
209,2,21,7,50,563.14
148,7,16,4,59,1231.69
251,8,36,2,2,1876.48
64,5,33,2,34,1111.18
153,9,19,4,21,1310.06
84,8,36,7,43,1472.34
198,1,26,1,56,1027.26
291,5,22,3,18,1052.55
194,2,26,2,12,794.66
275,8,37,6,24,1860.66
126,9,36,7,37,1540.51
267,7,33,5,5,1510.92
93,2,22,7,0,127.82
283,9,31,7,58,1727.35
140,4,31,2,0,973.11
268,5,26,9,0,724.57
251,8,27,5,13,1447.11
269,3,16,9,21,436.68
134,3,29,6,37,780.73
206,7,26,1,34,1461.79
215,2,16,6,14,130.18
271,3,22,5,45,837.17
119,3,36,8,17,730.73
103,2,21,5,26,425.66
127,6,39,4,25,1382.78
242,6,12,2,22,958.31
234,3,29,3,58,1175.09
256,4,32,8,48,1188.9
266,4,13,1,20,747.96
198,4,22,4,50,916.7
185,1,32,6,8,506.9
228,6,24,6,48,1113.91
246,4,12,4,10,800.78
185,2,10,4,23,429.63
207,1,31,3,32,763.96
203,7,17,3,40,1378.93
196,5,37,6,1,1192.12
190,4,16,5,12,523.44
209,2,28,9,40,613.98
245,6,39,8,20,1400.4
193,6,15,6,21,534.15
270,1,31,5,21,679.37
280,7,27,7,46,1487.7
88,8,14,6,31,647.61
218,9,26,7,26,1321.15
145,3,13,5,34,259.55
222,9,29,3,46,1809.09
296,6,31,4,46,1650.39
152,1,29,9,46,406.47
260,9,14,9,56,1301.39
91,3,29,4,58,821.53
178,9,26,6,50,1708.96
163,5,13,7,49,735.21
231,2,34,1,26,1183.71
61,3,35,6,18,703.01
214,2,26,1,5,832.96
171,7,33,7,14,1069.12
248,6,32,6,37,1421.75
94,1,31,3,15,583.22
111,7,26,2,48,1320.64
54,2,11,4,36,185.36
245,1,14,5,56,346.96
183,2,16,2,19,490.04
252,4,17,6,14,662.99
154,6,15,9,43,690.2
278,5,15,5,25,753.87
84,8,16,2,3,754.49
77,7,37,9,17,890.56
190,5,31,7,19,1128.96
52,3,22,1,54,709.2
255,4,30,2,37,1362.37
165,3,14,6,0,206.8
83,9,10,8,57,969.43
131,5,24,6,16,768.05
152,3,18,7,3,240.36
293,6,27,9,53,1326.16
266,2,39,2,16,1565.06
211,3,24,4,53,980.19
224,6,39,8,13,1293.8
113,4,13,4,45,467.01
129,4,36,9,24,1035.16
67,4,13,5,58,328.85
83,3,26,6,0,312.48
41,9,10,9,19,493.12
167,2,10,5,7,3.03
134,7,30,5,53,1503.03
70,5,16,3,4,639.07
104,4,32,1,42,1103.89
190,5,21,7,4,843.53
138,9,21,5,7,1039.37
171,4,20,9,19,573.92
110,9,13,3,5,866.15
180,8,14,1,15,1077.6
270,2,19,8,44,485.6
123,4,16,7,33,309.77
279,5,17,5,53,1029.88
216,1,34,3,32,796.83
204,3,17,7,23,509.31
162,4,13,3,6,493.28
289,5,13,2,2,837.03
93,3,27,2,40,1001.02
209,1,39,1,5,1009.0
286,6,28,8,21,1345.85
261,9,12,6,3,1119.74
284,8,29,6,11,1459.78
244,9,31,6,15,1579.01
145,9,33,4,3,1711.97
76,5,25,2,6,925.53
152,7,10,8,47,645.95
184,4,11,5,11,196.31
198,5,31,5,46,1257.98
155,6,31,8,16,746.58
146,2,17,5,4,105.09
252,5,22,3,19,970.32
298,6,35,8,55,1583.84
253,3,38,6,40,1311.18
133,5,12,7,37,289.57
204,1,33,5,50,909.66
149,9,18,6,53,1531.89
68,4,16,4,49,384.78
170,8,36,8,58,1537.35
267,1,23,7,5,403.35
268,4,21,4,15,852.77
208,6,29,6,44,1468.44
58,6,37,9,22,1133.79
265,9,12,1,58,1628.44
86,3,24,6,10,400.56
257,2,31,4,44,1015.12
152,4,35,5,10,1003.21
42,2,20,6,6,39.64
138,3,28,1,32,1093.59
246,9,32,4,40,1901.2
243,1,15,9,50,175.37
210,2,39,4,8,1137.43
272,1,23,7,2,516.44
98,4,23,9,31,525.02
77,2,25,8,8,164.89
277,1,30,5,57,1047.22
274,7,24,3,24,1244.59
46,4,16,8,30,277.09
136,6,21,1,33,787.24
182,6,35,8,47,1153.57
140,2,32,1,30,829.95
243,5,37,3,52,1600.36
231,5,39,6,27,1560.55
72,1,26,6,11,132.27
150,8,25,9,36,990.81
217,8,19,2,6,1273.02
168,6,39,3,29,1546.23
190,5,29,4,49,1301.45
137,4,27,4,35,863.5
204,8,34,9,52,1507.96
196,6,10,5,55,698.41
92,1,23,5,6,26.46
142,8,25,6,40,1418.1
262,1,30,4,7,592.48
47,9,17,1,54,1166.52
271,8,37,3,11,1866.7
197,8,12,7,26,939.61
70,5,13,8,55,274.18
176,2,10,7,31,160.14
208,6,26,5,18,1127.02
198,1,38,9,46,924.01
260,3,35,1,31,1525.1
232,4,35,8,54,1311.58
271,8,10,3,13,969.88
180,8,19,6,12,939.8
185,8,36,6,6,1748.41
290,1,14,3,31,514.9
50,3,16,9,26,-25.82
68,6,16,5,14,309.1
173,7,27,4,57,1329.25
82,3,23,4,13,517.74
126,4,20,8,19,569.41
118,9,31,2,23,1700.83
249,6,29,3,20,1264.21
240,2,30,8,1,440.25
193,3,19,8,26,289.35
195,7,16,8,20,726.94
171,6,35,1,54,1692.76
226,6,35,1,2,1439.02
52,7,27,2,19,1074.47
170,9,29,6,23,1454.97
198,3,15,4,37,444.1
173,8,31,6,16,1238.94
184,3,25,1,55,1004.14
136,7,35,3,35,1647.21
276,5,15,8,7,511.04
275,2,34,2,16,1019.42
139,8,39,8,4,1185.38
61,9,36,5,52,1592.0
73,8,22,2,15,1125.38
44,5,30,6,43,865.69
79,8,33,6,15,1292.54
164,8,34,5,18,1390.95
107,6,36,5,20,1393.6
202,7,11,6,47,839.13
202,7,32,4,20,1616.82
82,2,20,2,35,679.36
250,4,25,5,54,1103.94
78,1,32,8,58,708.62
216,8,15,2,9,1232.67
162,9,25,1,32,1745.86
249,3,26,6,55,843.6
270,1,20,9,59,441.27
259,4,18,1,24,1158.47
237,5,15,5,45,886.95
45,8,35,9,7,1283.46
47,7,18,4,25,814.46
73,2,37,7,9,612.4
67,9,33,2,10,1471.96
219,9,32,2,36,2106.59
117,1,27,9,39,520.76
70,7,33,7,57,1430.68
214,1,36,4,20,936.2
49,8,34,6,18,1164.93
299,5,29,6,11,1251.89
267,7,13,1,28,1102.01
120,2,38,4,34,879.32
205,3,34,7,40,998.22
92,7,30,9,21,1116.83
103,4,11,6,19,105.87
163,3,33,7,5,717.6
261,1,19,5,10,256.97
186,6,21,4,48,1000.91
197,2,31,7,3,745.53
79,7,36,8,37,1165.97
94,9,33,2,58,1932.49
69,3,18,2,59,568.83
223,7,10,3,36,965.54
185,7,27,5,33,1501.05
111,2,24,1,21,703.99
131,1,33,6,48,509.57
224,7,17,2,12,1076.41
91,6,35,8,19,1064.68
244,5,34,8,6,867.68
102,6,32,4,21,1123.02
142,9,28,8,40,1524.49
219,5,28,3,14,1192.33
136,7,20,6,41,952.85
70,1,10,4,1,-86.36
190,6,29,3,14,1428.05
135,7,20,9,4,636.24
244,8,12,6,38,939.39
156,6,37,6,27,1235.94
62,1,20,8,53,198.84
261,5,12,3,16,790.37
58,1,35,2,40,789.59
92,7,21,6,30,834.94
162,5,14,6,12,534.02
71,5,38,6,25,909.14
266,1,16,9,13,74.4
261,6,16,7,57,997.43
213,6,12,3,51,1035.01
275,2,22,1,14,506.11
239,1,36,9,3,650.5
216,6,14,4,48,968.53
251,6,10,1,54,1073.54
187,6,12,5,9,726.99
119,1,22,2,22,299.52
254,7,18,1,33,1318.49
51,1,33,9,34,552.5
269,2,39,6,56,1220.61
133,4,36,7,16,879.42
219,8,37,6,14,1831.83
85,7,25,5,31,1034.89
190,1,21,2,54,621.93
149,7,25,7,19,951.95
143,6,29,3,42,1224.02
208,2,31,2,31,1065.49
212,8,31,8,9,1436.43
128,5,36,4,27,1312.99
270,8,25,8,51,1391.74
280,7,25,9,14,1068.23
122,3,32,4,53,1023.31
54,1,35,4,50,771.2
204,6,38,3,40,1533.3
66,5,34,5,39,1040.39
62,9,39,7,26,1631.36
61,3,29,9,43,556.3
236,7,28,3,11,1317.62
216,9,39,6,9,1886.41
158,2,15,3,8,409.49
186,9,30,6,31,1510.91
179,4,16,8,51,698.45
179,8,29,7,58,1253.92
108,7,20,3,15,1077.68
213,6,25,4,48,1516.07
232,7,15,7,37,1089.78
129,1,37,2,3,752.45
80,3,21,7,25,494.76
286,2,38,4,59,1386.38
98,7,21,9,0,500.29
202,5,13,8,48,582.15
172,7,29,4,28,1182.89
158,4,30,6,4,910.49
218,7,19,4,59,1257.47
116,1,31,3,59,625.35
294,3,22,7,19,695.91
154,3,13,6,13,336.29
132,8,26,8,36,1027.9
260,5,19,3,46,1023.75
279,2,30,6,45,930.52
193,3,27,3,4,802.38
287,7,36,2,5,1793.14
41,3,17,6,2,38.12
156,1,26,6,9,459.84
78,8,31,4,43,1475.02
253,6,25,5,23,1324.21
206,9,17,7,42,1309.17
201,5,34,7,19,1199.49
297,2,29,2,9,1044.59
285,3,13,2,14,573.27
153,9,13,1,4,1113.49
154,8,38,3,8,1511.76
68,9,32,6,40,1438.24
243,3,28,8,33,796.11
154,7,31,1,12,1481.62
71,3,36,7,18,748.33
219,3,33,5,54,1331.27
106,3,25,1,35,811.54
40,1,25,1,19,464.43
184,8,22,3,53,1601.19
264,2,38,8,39,1109.43
192,2,21,8,31,614.69
86,2,17,1,43,382.39
108,5,26,2,9,865.54
72,2,28,4,6,384.47
289,1,28,7,29,677.98
85,6,28,6,32,977.89
97,1,12,2,38,-56.08
193,5,20,3,38,1030.65
73,2,28,2,21,640.72
174,6,31,9,30,1049.84
233,4,18,9,22,432.79
71,1,25,8,20,73.38
291,8,11,2,19,1108.05
181,1,21,4,11,310.18
167,9,19,9,20,988.34
183,1,34,8,42,814.11
106,6,19,4,32,1048.24
279,1,25,7,31,516.13
101,5,38,2,18,1218.14
251,5,22,2,28,1238.5
136,7,14,8,25,635.19
98,8,25,2,36,1422.3
272,3,28,4,42,1105.7
225,3,27,1,17,1031.97
136,5,32,4,31,1245.74
80,3,11,9,21,-82.61
150,4,32,8,10,780.85
172,1,32,6,15,507.49
164,3,25,1,39,920.67
258,7,37,8,24,1566.34
114,1,15,9,54,49.75
189,6,15,8,26,680.51
286,2,10,5,36,358.82
206,7,12,7,7,803.56
83,3,25,2,36,693.2
143,6,20,3,19,885.57
73,1,33,4,59,667.69
135,2,22,9,45,470.4
239,2,18,8,12,102.89
109,4,36,1,56,1308.77
238,6,20,9,19,844.46
63,7,39,2,44,1720.71
254,8,31,4,19,1701.17
146,7,22,7,20,1016.32
79,8,30,3,36,1484.29
71,7,34,1,41,1395.75
78,8,35,6,30,1669.7
224,8,26,6,54,1528.61
106,3,12,1,51,304.88
56,1,36,3,46,700.72
227,5,10,8,11,313.39
93,5,19,1,53,950.85
161,5,15,6,31,392.28
280,2,27,9,10,662.63
283,6,19,7,27,1042.16
214,7,17,3,4,1123.13
195,3,24,7,10,568.73
201,1,12,2,20,220.85
108,3,25,4,35,485.9
79,4,13,3,23,409.8
73,9,29,6,56,1474.25
117,9,28,9,8,1138.94
101,5,10,9,13,-104.76
76,9,10,7,0,573.74
290,3,19,4,54,1032.94
52,7,20,3,38,998.26
273,5,31,7,24,1192.32
269,7,26,3,47,1791.24
209,5,31,8,47,1212.86
147,6,31,2,5,1243.65
95,8,29,3,46,1540.74
95,1,38,9,10,421.62
183,6,38,4,7,1430.46
110,6,37,7,50,1292.85
218,4,21,3,29,813.09
200,9,15,6,57,1235.96
258,3,21,4,17,834.54
78,1,32,4,46,586.0
248,6,16,4,37,956.5
129,4,33,4,23,1047.92
104,9,26,9,44,1238.1
82,9,34,6,23,1396.21
137,6,36,7,9,1125.05
41,9,19,1,53,1275.47
129,8,23,6,3,1086.51
78,5,10,9,50,262.48
58,6,29,8,49,1053.39
167,6,36,2,52,1606.93
204,1,12,7,52,29.8
167,8,16,5,48,1191.83
278,2,31,7,51,1046.14
297,5,32,2,6,1361.49
72,5,31,7,29,729.68
198,9,35,6,1,1559.42
47,3,14,9,24,-7.93
152,3,34,7,22,730.63
90,7,25,3,24,1122.46
218,8,31,1,48,1929.11
200,2,38,7,34,892.11
237,6,25,3,22,1077.32
41,4,19,5,49,560.4
137,9,22,2,39,1547.16
219,5,14,4,18,588.03
70,1,12,9,10,-363.46
122,5,21,7,46,946.02
217,1,26,8,24,442.78
263,6,17,6,17,1002.56
293,8,25,2,7,1474.26
58,6,28,7,27,816.85
214,6,26,5,52,1385.71
212,8,37,7,22,1512.45
259,3,36,9,14,981.12
177,5,39,5,2,1194.47
117,3,23,9,50,545.15
191,5,19,6,16,680.26
135,1,33,3,43,746.18
283,6,36,8,15,1289.07
227,4,14,4,11,634.84
269,8,18,4,13,1203.72
165,5,37,7,13,1027.61
104,7,24,1,30,1179.46
169,1,33,8,38,806.72
124,1,25,9,0,177.1
273,5,18,8,7,639.67
108,2,15,5,26,349.79
94,4,19,9,28,275.44
65,5,35,4,12,990.29
290,2,17,9,30,432.35
96,7,36,1,24,1577.74
132,4,27,4,54,1036.39
214,3,15,9,16,291.09
51,5,11,8,9,11.0
176,3,20,9,52,218.44
191,7,34,6,56,1565.95
257,8,29,6,53,1557.36
250,2,23,2,39,826.47
45,1,39,6,39,649.47
210,1,38,4,18,946.77
61,9,15,1,0,1097.03
157,6,18,7,14,687.01
113,3,35,3,4,947.73
186,8,39,3,58,2073.5
191,6,25,7,50,1163.55
85,6,22,4,35,989.91
92,8,20,3,53,1223.3
222,3,11,3,59,476.71
208,1,10,5,43,194.28
281,9,10,1,47,1463.1
42,4,27,9,50,642.11
254,3,15,1,47,874.85
297,8,18,7,23,1220.37
112,9,15,3,49,1303.64
255,4,28,5,30,984.51
117,6,25,5,54,930.75
88,1,37,8,10,513.33
296,7,34,4,1,1574.35
82,1,28,8,3,213.13
43,9,37,9,44,1456.34
93,2,15,6,11,146.61
227,7,14,3,54,1214.93
131,4,13,2,52,556.28
66,5,12,3,56,609.56
71,9,21,6,40,1087.23
51,8,20,9,54,798.37
222,6,15,4,14,790.98
169,6,33,5,47,1395.52
53,3,11,3,38,259.27
99,1,27,5,35,392.91
249,7,22,6,33,1315.12
176,1,19,8,13,14.01
78,7,28,2,46,1314.18
45,5,26,9,5,442.95
124,6,32,5,58,1238.71
227,6,14,4,14,947.01
71,3,28,1,13,471.06
47,1,34,2,1,642.69
275,7,24,8,28,1184.15
200,3,16,2,47,734.25
77,1,20,2,12,291.34
215,3,31,3,13,1161.76
92,1,34,9,40,276.25
237,8,17,4,5,1140.99
68,6,36,4,22,1392.27
277,5,33,5,41,1405.23
247,3,10,9,6,17.6
294,4,16,3,49,801.05
185,8,39,9,15,1434.31
249,5,31,7,47,1135.14
47,4,16,5,48,378.47
57,5,19,5,30,589.11
282,5,33,2,46,1522.28
126,8,25,4,35,1331.45
47,5,10,7,28,131.07
223,6,27,5,32,1246.83
83,8,33,3,18,1511.22
95,4,16,3,29,516.46
272,1,10,4,7,234.59
231,3,39,1,3,1343.29
220,2,19,9,0,138.23
145,5,39,9,50,1388.62
266,5,24,7,47,810.28
205,4,29,4,5,985.55
179,4,38,1,40,1524.43
69,6,24,6,35,776.28
218,7,19,8,45,1164.42
272,9,17,6,51,1438.77
219,3,38,9,15,1058.66
210,9,34,5,49,1627.83
165,4,24,2,8,966.0
129,4,35,7,3,831.14
83,3,20,2,1,432.84
294,7,15,5,53,1271.17
144,9,25,1,34,1613.92
135,8,13,6,34,945.48
104,7,24,7,21,1056.54
154,7,39,8,38,1558.9
254,6,22,8,2,828.1
294,8,29,5,45,1647.83
167,5,29,4,58,1289.68
50,3,20,7,17,249.06
71,5,25,4,33,714.77
49,5,22,7,28,665.15
143,2,12,8,8,-201.15
174,2,32,6,41,643.25
198,9,29,1,44,1915.06
186,7,22,7,5,886.86
180,4,32,4,44,1059.57
114,6,36,8,9,1306.71
253,1,23,4,41,631.08
93,5,27,2,50,1091.74
210,8,31,3,9,1615.29
174,5,33,5,13,1103.58
204,6,38,2,7,1475.62
227,3,24,1,32,967.08
58,2,21,7,15,16.97
146,9,12,6,2,623.18
61,6,18,7,41,529.87
107,1,15,4,13,173.63
54,3,10,5,12,-166.14
60,5,32,5,57,1136.32
82,1,20,7,48,206.69
117,4,12,5,27,257.0
82,5,30,7,13,721.79
196,1,34,9,41,747.9
274,3,19,6,11,605.58
125,5,17,5,1,356.78
74,2,15,2,32,257.77
274,7,36,7,27,1723.82
260,1,31,8,59,726.85
250,9,39,5,9,1887.38
104,8,13,4,44,961.19
245,1,31,4,36,1049.47
206,2,38,5,7,905.19
284,4,19,9,54,846.78
220,8,32,3,11,1522.55
251,2,11,9,25,216.51
65,4,38,5,52,1285.1
272,2,38,9,36,1004.56
109,2,16,9,16,9.3
71,7,38,5,58,1400.84
99,8,22,4,12,864.2
69,9,25,9,40,711.34
163,2,13,2,23,436.52
72,2,10,1,32,203.42
289,9,39,9,1,1693.29
240,3,15,7,15,304.17
108,1,22,6,11,54.66
78,3,36,8,9,559.84
137,3,25,6,17,630.34
283,9,20,3,22,1530.39
196,7,38,7,1,1410.92
213,8,26,8,5,1038.29
132,2,33,5,36,736.45
44,9,17,7,12,816.65
247,3,25,9,59,838.19
71,3,21,4,44,511.58
268,4,14,2,56,890.86
116,6,35,9,28,931.46
290,3,22,3,37,1043.84
123,3,17,6,29,463.41
248,4,34,1,56,1673.94
114,9,26,7,52,1445.66
110,8,15,3,56,1016.07
268,5,27,8,3,929.18
225,2,38,6,53,1130.82
139,6,27,4,41,1126.66
81,2,27,7,17,226.87
216,8,24,5,12,1194.22
210,2,18,4,53,734.6
282,1,21,2,52,936.06
190,7,10,4,18,805.11
104,8,25,5,29,1274.02
229,1,33,2,19,942.94
228,9,27,4,57,1633.71
136,9,36,9,33,1612.69
195,6,22,1,57,1462.74
296,7,34,4,24,1689.39
194,1,27,5,9,406.05
290,4,38,7,15,1360.26
66,7,29,9,32,965.78
293,5,13,6,6,695.72
270,4,26,9,18,814.39
157,6,18,5,55,878.08
102,6,26,4,34,1007.96
206,5,16,3,38,987.78
191,3,31,7,9,689.92
108,8,12,2,38,974.6
237,2,25,2,51,1012.63
229,9,23,6,7,1483.78
287,6,20,1,22,1293.27
204,6,35,1,35,1782.23
189,8,13,3,15,1156.34
245,9,20,9,54,1426.83
283,9,29,4,27,1747.9
194,8,21,6,23,1378.74
281,4,36,5,55,1705.54
48,1,30,3,26,650.47
108,5,31,9,11,745.18
122,9,33,2,52,1733.75
253,4,20,9,30,383.38
261,9,12,3,33,1434.61
242,3,23,1,9,929.63
129,9,38,2,44,1905.2
256,9,30,4,16,1929.28
64,6,27,4,23,1056.96
289,8,14,7,0,948.57
259,2,38,8,58,1175.62
161,3,25,1,7,769.91
181,7,15,3,17,786.67
46,9,12,1,0,1066.88
42,5,39,8,12,727.51
274,1,22,9,20,420.4
196,3,10,2,38,522.62
75,9,25,7,37,1144.96
245,6,28,3,12,1214.0
214,5,37,1,37,1542.05
118,8,37,5,37,1520.87
145,7,19,4,51,1210.85
259,9,18,7,52,1440.74
188,5,27,1,19,1167.82
191,9,22,7,43,1333.68
239,2,19,4,23,601.23
90,3,31,2,13,862.34
130,8,35,8,36,1551.03
49,4,16,7,13,181.47
145,9,32,5,43,1780.96
125,7,12,7,54,672.09
73,2,12,8,26,9.9
161,7,32,4,27,1343.89
73,2,26,9,46,466.72
166,8,12,7,4,617.87
47,6,33,8,4,874.3
67,9,24,3,34,1411.27
85,8,17,8,31,752.77
177,2,23,7,58,578.81
279,8,24,8,25,1248.82
86,6,14,4,59,681.72
161,2,36,7,46,789.95
98,1,20,6,41,162.22
61,3,17,9,32,109.44
296,9,36,7,18,1785.03
187,8,36,8,42,1625.4
187,8,23,7,54,1422.21
67,7,31,1,23,1401.37
137,5,28,7,39,926.93
272,1,30,2,7,850.7
278,8,30,1,36,1799.37
274,6,36,2,47,1722.57
279,4,13,6,39,788.69
235,5,23,1,6,1063.47
135,9,19,6,16,1222.81
69,8,28,2,49,1453.71
287,1,19,1,49,817.74
112,7,35,4,10,1527.58
71,2,25,5,25,493.78
122,8,10,3,49,1115.77
175,3,34,7,47,897.92
255,5,17,7,11,607.17
176,1,31,7,14,501.2
63,5,31,6,43,922.57
291,4,23,3,53,1182.85
171,6,22,4,58,1238.1
55,4,34,7,29,668.3
102,2,39,7,41,767.16
146,2,29,3,23,732.81
161,8,14,9,33,806.04
66,5,13,8,24,247.48
138,8,16,4,46,1159.71
277,4,13,6,25,765.72
87,4,24,3,45,894.99
203,9,33,2,30,1997.88
184,5,12,5,30,454.79
255,8,34,3,22,1831.06
279,9,39,7,45,1987.36
225,8,28,2,25,1630.32
235,3,33,2,32,1192.24
113,9,19,9,37,1059.48
214,2,30,6,6,791.08
52,9,22,3,22,1275.89
168,6,18,5,29,920.74
137,6,36,5,19,1246.96
266,7,33,7,31,1516.16
179,8,25,5,23,1220.17
283,2,28,4,33,1083.89
94,4,19,1,53,773.28
292,1,25,3,42,1098.4
215,9,37,7,42,1795.41
270,6,10,7,15,639.54
129,5,28,6,42,1051.92
282,1,35,3,58,1360.27
73,4,17,9,19,228.96
49,7,19,3,51,934.02
121,5,10,6,45,427.39
119,9,27,3,22,1462.63
215,3,38,7,54,1339.83
173,4,35,1,15,1218.86
227,1,25,5,14,442.8
278,7,34,6,35,1561.72
119,8,32,9,6,956.07
226,4,32,9,52,985.73
103,4,12,7,1,153.22
123,8,33,5,8,1565.11
256,6,35,9,18,1336.76
250,9,17,4,11,1297.39
160,3,15,6,44,577.4
246,9,12,2,14,1027.64
156,3,17,8,16,304.14
67,8,10,3,28,694.6
109,6,21,8,39,634.55
106,4,19,7,6,251.91
146,2,35,1,59,954.72
194,3,10,5,40,440.49
167,7,17,3,47,1094.07
127,2,29,2,26,871.68
297,3,24,2,9,887.85
213,4,32,4,12,1101.2
279,1,36,2,0,884.57
57,7,25,6,34,999.08
224,3,25,3,26,711.18
42,8,27,3,43,1338.83
123,2,33,9,18,441.17
95,2,39,9,38,673.62
47,2,22,8,27,194.09
267,6,38,8,49,1491.68
199,1,36,3,56,1146.87
238,6,27,7,8,876.28
132,1,34,6,18,619.51
255,1,10,6,24,95.61
253,7,21,7,39,1000.44
114,8,35,1,44,1872.9
157,6,12,6,5,471.21
182,6,30,8,55,1152.76
96,8,38,2,45,1813.71
255,1,23,8,2,338.98
41,8,15,8,24,441.12
243,2,31,5,47,961.85
279,3,24,7,57,920.53
186,5,15,8,39,595.98
102,1,10,7,45,-78.45
127,9,29,2,15,1512.61
188,9,20,8,37,1327.25
137,4,11,9,51,301.15
219,9,11,4,9,1012.44
150,4,34,3,37,1257.68
99,3,36,2,8,799.7
54,1,18,1,5,304.76
84,4,37,3,15,935.01
56,4,34,4,56,1096.22
232,5,31,8,2,992.05
149,2,32,1,37,903.71
291,1,15,5,22,459.0
50,3,18,5,41,377.41
85,3,20,6,11,341.38
256,7,38,1,42,2236.96
118,8,24,8,18,926.58
143,5,24,9,6,560.18
210,2,27,5,43,895.71
232,1,34,5,13,812.03
130,2,23,3,7,529.86
95,3,20,1,34,642.49
278,9,32,5,40,1904.08
128,8,29,6,52,1604.95
132,5,23,7,24,614.93
251,4,17,3,49,1027.2
183,6,19,1,47,1139.68
57,4,36,7,6,781.62
229,6,20,4,32,1021.65
175,4,28,2,2,900.96
95,9,37,2,12,1680.95
170,9,36,2,58,2257.0
172,6,36,3,22,1325.3
